microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Ruminococcus bromii,Crohns disease,decrease,20722058,Produced stronger hybridization signals with DNA samples from healthy subjects,,1
Oscillibacter valericigenes,Crohns disease,decrease,20722058,Produced stronger hybridization signals with DNA samples from healthy subjects,,1
Bifidobacterium bifidum,Crohns disease,decrease,20722058,Produced stronger hybridization signals with DNA samples from healthy subjects,,1
Eubacterium rectale,Crohns disease,decrease,20722058,Produced stronger hybridization signals with DNA samples from healthy subjects,,1
Enterococcus faecium,Crohns disease,increase,20722058,Overrepresented in CD patients,,1
Mycobacterium avium paratuberculosis,Crohns disease,increase,20722058,Detected as a potential infectious agent in CD patients,,1
Bifidobacterium longum,Crohns disease,decrease,20735782,Synbiotic consumption significantly improved clinical outcomes and reduced disease activity indices and histological scores,"Synbiotic consumption led to significant reductions in TNF-a expression at 3 months. The Th1-mediated inflammatory response in CD is characterized by increased IL-18, INF-c, and TNF-a.",1
Lactobacillus rhamnosus GG,Crohns disease,decrease,20735782,Reduced TNF-a production in inflamed ileal tissue from CD patients,"Synbiotic consumption led to significant reductions in TNF-a expression at 3 months. The Th1-mediated inflammatory response in CD is characterized by increased IL-18, INF-c, and TNF-a.",1
Saccharomyces boulardii,Crohns disease,decrease,20735782,Reduced clinical relapse rates when used with mesalazine,"Synbiotic consumption led to significant reductions in TNF-a expression at 3 months. The Th1-mediated inflammatory response in CD is characterized by increased IL-18, INF-c, and TNF-a.",1
Escherichia coli Nissle 1917,Crohns disease,decrease,20735782,Patients receiving the probiotic entered remission sooner than placebos,"Synbiotic consumption led to significant reductions in TNF-a expression at 3 months. The Th1-mediated inflammatory response in CD is characterized by increased IL-18, INF-c, and TNF-a.",1
Faecalibacterium prausnitzii,Crohn disease,decrease,20816835; 21073731,"Reduction in individuals with CD, particularly those with ileal involvement || A reduction of Faecalibacterium prausnitzii was found to be associated with the recurrence of ileal CD",,2
Roseburia,Crohn disease,decrease,20816835,Disappearance in individuals with ileal CD,,1
Enterobacteriaceae,Crohn disease,increase,20816835,Increased amounts in individuals with ileal CD,,1
Ruminococcus gnavus,Crohn disease,increase,20816835,Increased amounts in individuals with ileal CD,,1
Escherichia coli,Inflammatory bowel diseases,increase,20816835,Increased concentrations in both CD and UC,,1
Clostridium leptum group,Crohn disease,decrease,20816835,"Reduced presence in CD, particularly in ileal CD",,1
Clostridium coccoides group,ulcerative colitis,decrease,20816835,Reduced presence in UC,,1
Heligmosomoides polygyrus,inflammatory bowel disease,decrease,20848461,Heligmosomoides polygyrus infection ameliorates colonic inflammation in IL-10 gene-deficient mice,Heligmosomoides polygyrus infection may decrease the proinflammatory cytokine milieu associated with the chronically inflamed state in IBD,1
Lactobacillaceae,inflammatory bowel disease,increase,20848461,Members of the bacterial family Lactobacillaceae significantly increased in abundance in the ileum of infected mice,Heligmosomoides polygyrus infection may decrease the proinflammatory cytokine milieu associated with the chronically inflamed state in IBD,1
Eubacterium rectale,Crohn's disease,decrease,20848492,5–10-fold more abundant in healthy subjects than in CD patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Bacteroides fragilis group,Crohn's disease,decrease,20848492,5–10-fold more abundant in healthy subjects than in CD patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Bacteroides vulgatus,Crohn's disease,decrease,20848492; 30927743,5–10-fold more abundant in healthy subjects than in CD patients || Reduced bacterial diversity and relative depletion of Bacteroides vulgatus in Crohn's disease patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",2
Ruminococcus albus,Crohn's disease,decrease,20848492,5–10-fold more abundant in healthy subjects than in CD patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Ruminococcus callidus,Crohn's disease,decrease,20848492,5–10-fold more abundant in healthy subjects than in CD patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Ruminococcus bromii,Crohn's disease,decrease,20848492,5–10-fold more abundant in healthy subjects than in CD patients,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Enterococcus sp.,Crohn's disease,increase,20848492,More abundant in CD patients than in healthy subjects,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Clostridium difficile,Crohn's disease,increase,20848492,More abundant in CD patients than in healthy subjects,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Shigella flexneri,Crohn's disease,increase,20848492,More abundant in CD patients than in healthy subjects,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Listeria sp.,Crohn's disease,increase,20848492,More abundant in CD patients than in healthy subjects,"Dysbiosis of gut microbiota in Crohn's disease may result from defective regulation of mucosal immune interactions, potentially involving mutations in the NOD2/CARD15 gene which regulates host responses to bacteria. Beneficial bacteria producing short-chain fatty acids like butyrate may ameliorate inflammation.",1
Bacteroides,obesity,decrease,20876719; 27007700; 27228093; 28757576; 29665619; 30718820; 31530820; 33946648,"Bacteroides group was lower in obese subjects and increased after RYGB, negatively correlated with corpulence || Obese children revealed a significantly lower abundance in Bacteroides/Prevotella group || Abundance of Bacteroides genus decreased in men with an increase in BMI || Participants with low VO2max had lower Bacteroides levels || Reduction of Bacteroides is associated with obesity || Enrichment of Bacteroides in RSV-microbiota reduces weight gain and improves insulin sensitivity in HFD-fed mice || Reduction of Bacteroides was found in Chinese obese children and adolescents || Norepinephrine change significantly correlated with Bacteroides abundance variations in high-frequency dTMS group","Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome. || Leptin was positively associated with EreC and negatively correlated with VO2max, suggesting a potential role in obesity-related microbial changes || LPS promotes inflammation through TLR4 complex, inducing production of inflammatory cytokines such as CRP, contributing to chronic low-grade inflammation and cardiovascular risk || RSV-microbiota modulates lipid metabolism, stimulates the development of beige adipocytes in WAT, reduces inflammation, and improves intestinal barrier function, contributing to decreased obesity || GM-derived short-chain fatty acids (SCFAs) can enhance insulin sensitivity, affect blood pressure and stimulate the release of satiety hormones. Lipopolysaccharides (LPS) derived from bacterial membranes can trigger inflammatory processes associated with T2D, obesity and insulin resistance. || Norepinephrine changes significantly correlated with Bacteroides, Eubacterium, and Parasutterella abundance variations in high-frequency dTMS treatment group. The study suggests gut microbiota communicates with the brain via metabolites including short-chain fatty acids, gut-derived hormones (GLP-1, peptide YY), stress mediators, and neuroactive compounds (serotonin, GABA, dopamine, norepinephrine).",8
Prevotella,obesity,decrease,20876719; 27007700; 27559357; 28815303; 31996717,"Prevotella group was lower in obese subjects and increased after RYGB, negatively correlated with corpulence || Obese children revealed a significantly lower abundance in Bacteroides/Prevotella group || Prevotella enterotype is most prevalent in animals exposed to diets rich in carbohydrates and deficient of protein, which is less associated with obesity || Barley intake was associated with increased abundances of Prevotella and lower plasma insulin and resistin levels compared to obese controls || Individuals with high Prevotella/Bacteroides ratio lost more weight and body fat after 6 months on a high-fiber dietary intervention","Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome. || Barley intake was associated with lower plasma insulin and resistin levels, suggesting a role in modulating obesity-related biomarkers",5
Escherichia coli,obesity,increase,20876719; 31996717,Escherichia coli species increased after RYGB and inversely correlated with fat mass and leptin levels || Proteins from gut E. coli modulate appetite by interacting with antigens involved in host satiety signaling,"Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome.",2
Lactobacillus,obesity,decrease,20876719; 27052535; 28815303; 29214176; 30502656; 30525950; 30611080,"Lactobacillus group decreased after RYGB || Fructan supplementation stimulated the growth of Lactobacillus spp., which is associated with enhanced intestinal barrier function and reduced systemic inflammation in obese mice || Barley intake was associated with increased abundances of Lactobacillus and lower plasma insulin and resistin levels compared to obese controls || Increased amount during weight reduction in obese children || Intake of fermented soybean foods increases abundance of Lactobacillus, which is associated with improved host health and decreased obesity || More abundant with B420 at the end of the intervention, associated with improved gut barrier function and obesity-related markers || Probiotics supplementation slowed weight gain and restored proportions of beneficial bacteria including Lactobacillus","Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome. || Elevated plasma concentrations of bacterial LPS promote inflammation mainly by interacting with toll-like receptor 4, which is associated with compromised intestinal barrier function in obesity || Barley intake was associated with lower plasma insulin and resistin levels, suggesting a role in modulating obesity-related biomarkers || Bifidobacterium animalis subsp lactis 420 reduces high-sensitivity C-reactive protein (hsCRP), a blood marker for inflammation, and zonulin, a marker of intestinal permeability, thereby mitigating obesity-related inflammation",7
Leuconostoc,obesity,decrease,20876719,Leuconostoc group decreased after RYGB,"Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome.",1
Pediococcus,obesity,decrease,20876719,Pediococcus group decreased after RYGB,"Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome.",1
Bifidobacterium,obesity,decrease,20876719; 26139477; 27052535; 29214176; 29280312; 29665619; 30502656; 30611080; 32340903,"Bifidobacterium genus decreased after RYGB || Intake of Rehmannia glutinosa increased the abundance of Bifidobacterium and was associated with decreased waist circumference in obese women || Fructan supplementation stimulated the growth of Bifidobacterium spp., which is associated with enhanced intestinal barrier function and reduced systemic inflammation in obese mice || Increased amount during weight reduction in obese children || Significantly decreased in obesity group compared to healthy volunteers || Reduction of Bifidobacterium is associated with obesity || Intake of fermented soybean foods increases abundance of Bifidobacterium, which is associated with improved host health and decreased obesity || Probiotics increased the abundance of obesity negatively associated microbiota including Bifidobacterium || Inulin intake led to a large increase in Bifidobacterium, which was associated with weight loss and metabolic improvements in obese patients","Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome. || Elevated plasma concentrations of bacterial LPS promote inflammation mainly by interacting with toll-like receptor 4, which is associated with compromised intestinal barrier function in obesity || Inflammatory markers were significantly disturbed in overweight and obesity groups, with worse metabolic status in patients with acanthosis nigricans || LPS promotes inflammation through TLR4 complex, inducing production of inflammatory cytokines such as CRP, contributing to chronic low-grade inflammation and cardiovascular risk",9
Faecalibacterium prausnitzii,diabetes,decrease,20876719,Faecalibacterium prausnitzii was lower in subjects with diabetes and associated negatively with inflammatory markers,"Faecalibacterium prausnitzii is linked to the reduction in low-grade inflammation state in obesity and diabetes, independently of calorie intake. Gut microbiota-produced lipopolysaccharides contribute to inflammation and development of metabolic syndrome.",1
Chryseomonas,atherosclerosis,increase,20937873,Identified in all atherosclerotic plaque samples,Increased expression of adhesion molecules and inflammatory cytokines (unspecified) contributes to atherosclerotic plaque vulnerability,1
Veillonella,atherosclerosis,increase,20937873,"Found in the majority of atherosclerotic plaque samples, abundance correlated with oral cavity levels",Increased expression of adhesion molecules and inflammatory cytokines (unspecified) contributes to atherosclerotic plaque vulnerability,1
Streptococcus,atherosclerosis,increase,20937873,"Found in the majority of atherosclerotic plaque samples, abundance correlated with oral cavity levels",Increased expression of adhesion molecules and inflammatory cytokines (unspecified) contributes to atherosclerotic plaque vulnerability,1
Bacteroidetes,atherosclerosis,decrease,20937873; 30021609,Reduced levels observed in obese individuals (indirect association) || Bacteroidetes showed significant changes in apoE KO mice on a Western diet,Increased expression of adhesion molecules and inflammatory cytokines (unspecified) contributes to atherosclerotic plaque vulnerability,2
Chlamydia,atherosclerosis,increase,20937873,51.5% of patients tested positive for Chlamydia in atheromas,Increased expression of adhesion molecules and inflammatory cytokines (unspecified) contributes to atherosclerotic plaque vulnerability,1
Helicobacter pullorum,cholecystitis,increase,20939110,"Helicobacter DNA was found in seven out of 100 cases of acute and chronic cholecystitis, with H. pullorum in six cases",,1
Helicobacter pylori,cholecystitis,increase,20939110,"Helicobacter DNA was found in seven out of 100 cases of acute and chronic cholecystitis, with H. pylori in one case",,1
Helicobacter bilis,cholecystitis,increase,20939110,H. bilis has been isolated from humans with gallbladder disease such as cholecystitis,,1
Salmonella typhi,cholecystitis,increase,20939110,Salmonella typhi is another bacterial pathogen of the biliary tree in human gallstones and gallbladder cancer,,1
Campylobacter spp,cholecystitis,increase,20939110,Campylobacter spp. have been detected in bile and epithelial samples in cholecystolithiasis,,1
Desulfovibrio,ulcerative colitis,increase,20940602,Desulfovibrio positivity and relative load were significantly increased in acute and chronic ulcerative colitis compared with controls,,1
Pseudomonas aeruginosa,irritable bowel syndrome,increase,20947663,Higher prevalence and numbers in IBS patients compared to healthy subjects,,1
Bacteroides vulgatus,ulcerative colitis,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides vulgatus in healthy volunteers distinguishes them from UC patients,,1
Bacteroides ovatus,ulcerative colitis,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides ovatus in healthy volunteers distinguishes them from UC patients,,1
Bacteroides uniformis,ulcerative colitis,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides uniformis in healthy volunteers distinguishes them from UC patients,,1
Parabacteroides sp,ulcerative colitis,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Parabacteroides sp in healthy volunteers distinguishes them from UC patients,,1
Bacteroides vulgatus,irritable bowel syndrome,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides vulgatus in healthy volunteers distinguishes them from IBS patients,,1
Bacteroides ovatus,irritable bowel syndrome,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides ovatus in healthy volunteers distinguishes them from IBS patients,,1
Bacteroides uniformis,irritable bowel syndrome,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Bacteroides uniformis in healthy volunteers distinguishes them from IBS patients,,1
Parabacteroides sp,irritable bowel syndrome,decrease,21073731,DNA sequencing of discriminating bands suggest that the presence of Parabacteroides sp in healthy volunteers distinguishes them from IBS patients,,1
Dialister invisus,Crohn's disease,decrease,21209126,Lower presence in patients with CD compared to controls (p=0.04),Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function.,1
Clostridium cluster XIVa,Crohn's disease,decrease,21209126,Uncharacterized species of Clostridium cluster XIVa is less abundant in CD (p=0.03),Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function.,1
Bifidobacterium adolescentis,Crohn's disease,decrease,21209126,Lower presence in patients with CD (p=5.4×10^-6),Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function.,1
Collinsella aerofaciens,Crohn's disease,decrease,21209126,Less abundant in unaffected relatives of CD patients (p=0.004),Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function.,1
Escherichia coli,Crohn's disease,decrease,21209126; 26142465,Member of the Escherichia coli-Shigella group is less abundant in unaffected relatives (p=0.01) || Prevalence and relative loads of E. coli decreased significantly during adalimumab treatment,"Faecalibacterium prausnitzii's anti-inflammatory properties and butyrate production may explain its protective role in Crohn's disease. The dysbiosis signature in CD involves alterations in microbial species linked to inflammation and mucosal barrier function. || Adalimumab, an anti-TNFα agent, reduces inflammation in Crohn's disease by targeting TNFα, which may contribute to the recovery of a healthy-like microbiota",2
Clostridium,ulcerative colitis,decrease,21253779,Significant decrease in the Clostridium family in patients with active UC,,1
Clostridium,Crohn's disease,decrease,21253779; 31796936,"Significant decrease in the Clostridium family in patients with inactive/active CD || Only 0.0001% of colonic bacteria are capable of performing 7α-dehydroxylation, and these bacteria belong mainly to the Clostridium genus","Bile acids interact with nuclear receptors such as farnesoid X receptor (FXR), which has been shown to have protective functions in CD/IBD by promoting anti-inflammatory immune responses and maintaining epithelial barrier integrity",2
Bacteroides,Crohn's disease,increase,21253779; 26142465,Bacteroides were significantly increased in CD patients || Recovery of Bacteroides phylum was observed during treatment,"Adalimumab, an anti-TNFα agent, reduces inflammation in Crohn's disease by targeting TNFα, which may contribute to the recovery of a healthy-like microbiota",2
Faecalibacterium prausnitzii,HBV cirrhosis,decrease,21286703,16S rRNA gene copy numbers showed marked variation in the intestine of HBV cirrhotic patients,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Enterococcus faecalis,HBV cirrhosis,increase,21286703,16S rRNA gene copy numbers showed marked variation in the intestine of HBV cirrhotic patients,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Enterobacteriaceae,HBV cirrhosis,increase,21286703,16S rRNA gene copy numbers showed marked variation in the intestine of HBV cirrhotic patients,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Bifidobacteria,HBV cirrhosis,decrease,21286703,16S rRNA gene copy numbers showed marked variation in the intestine of HBV cirrhotic patients,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Lactobacillus,HBV cirrhosis,decrease,21286703,16S rRNA gene copy numbers showed marked variation in the intestine of HBV cirrhotic patients,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Escherichia coli,HBV cirrhosis,increase,21286703,Increased diversity of virulence factors during liver disease progression,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Bacteroides fragilis,HBV cirrhosis,increase,21286703,Increased diversity of virulence factors during liver disease progression,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Clostridium difficile,HBV cirrhosis,increase,21286703,Increased diversity of virulence factors during liver disease progression,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Clostridium perfringens,HBV cirrhosis,increase,21286703,Increased diversity of virulence factors during liver disease progression,"Fecal secretory IgA and tumor necrosis factor-α were present at higher levels in decompensated HBV cirrhotic patients, indicating an attempt to achieve a new intestinal microecological balance",1
Chlamydophila pneumoniae,Peripheral Arterial Disease,increase,21303746,Higher frequency of C. pneumoniae infection and elevated antibody titers in PAD patients compared to healthy subjects,,1
Chlamydophila pneumoniae,Cardiovascular Diseases,increase,21303746,"Elevated C. pneumoniae antibody titers found in patients with myocardial infarction, coronary artery disease, and carotid artery atherosclerosis",,1
Bacteroidetes,irritable bowel syndrome,increase,21330412,Higher diversity of Bacteroidetes in IBS faecal samples,,1
Lactobacillus,irritable bowel syndrome,increase,21330412; 33183883,Higher diversity of lactobacilli in IBS faecal samples || Probiotic supplementation led to higher Lactobacillus abundance compared with placebo,,2
Bifidobacter,irritable bowel syndrome,decrease,21330412,Less diversity of Bifidobacter in IBS faecal samples,,1
Clostridium coccoides,irritable bowel syndrome,decrease,21330412,Less diversity of Clostridium coccoides in IBS faecal samples,,1
Clostridium,irritable bowel syndrome,increase,21330412,Altered metabolism rate associated with Clostridium in IBS,,1
Verrucomicrobia,colitis,increase,21391286,Increase in Verrucomicrobia phylum members in DSS-treated mice with colitis,"Changes in host gene expression related to inflammatory response (e.g., IL12b, IL17a, Tgfb1) were observed in DSS-treated mice, indicating microbial and immunological changes precede severe inflammation in colitis",1
Tenericutes,colitis,decrease,21391286,Decrease in Tenericutes phylum members in DSS-treated mice with colitis,"Changes in host gene expression related to inflammatory response (e.g., IL12b, IL17a, Tgfb1) were observed in DSS-treated mice, indicating microbial and immunological changes precede severe inflammation in colitis",1
Lactobacillus plantarum,antibiotic associated diarrhea,decrease,21549208,Higher colonization rate with L. plantarum in C. difficile negative cases (33.3% vs. 9.4%),,1
Lactobacillus gasseri,antibiotic associated diarrhea,decrease,21549208,Higher colonization of Estonian AAD patients with L. gasseri (19% vs. 2%),,1
Clostridium difficile,antibiotic associated diarrhea,increase,21549208,C. difficile is a specific pathogen causing clinically more severe AAD,,1
Bacteroidetes,Liver cirrhosis,decrease,21574172,The proportion of phylum Bacteroidetes was significantly reduced in cirrhosis patients compared to healthy controls,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Proteobacteria,Liver cirrhosis,increase,21574172,Proteobacteria were highly enriched in the cirrhosis group compared to healthy controls,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Fusobacteria,Liver cirrhosis,increase,21574172,Fusobacteria were highly enriched in the cirrhosis group compared to healthy controls,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Enterobacteriaceae,Liver cirrhosis,increase,21574172,Enterobacteriaceae were prevalent in patients with cirrhosis at the family level,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Veillonellaceae,Liver cirrhosis,increase,21574172,Veillonellaceae were prevalent in patients with cirrhosis at the family level,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Streptococcaceae,Liver cirrhosis,increase,21574172,Streptococcaceae were prevalent in patients with cirrhosis at the family level and positively correlated with Child-Turcotte-Pugh score,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Lachnospiraceae,Liver cirrhosis,decrease,21574172,Lachnospiraceae decreased significantly in patients with cirrhosis and correlated negatively with Child-Turcotte-Pugh score,"Increased proinflammatory cytokine production (tumor necrosis factor alpha, interferon-gamma, and interleukin-6) and endothelial nitric oxide synthase-derived nitric oxide overproduction are linked to bacterial translocation in cirrhosis patients, impairing mesenteric vasculature contractility",1
Proteobacteria,necrotizing enterocolitis,increase,21674011,A bloom (34% increase) of Proteobacteria was detected in NEC cases between the 1 week and <72 hour samples prior to diagnosis,,1
Firmicutes,necrotizing enterocolitis,decrease,21674011; 24819377,"A decrease (32%) in Firmicutes was observed in NEC cases between the 1 week and <72 hour samples prior to diagnosis || Firmicutes were most abundant in 10 d samples and remained dominant in 30 d samples, suggesting a protective role",,2
Enterobacteriaceae,necrotizing enterocolitis,increase,21674011,A bacterial signature matching closest to γ-Proteobacteria (Enterobacteriaceae family) was detected more frequently in NEC cases (p <0.01),,1
Enterococcus,viral diarrhea,increase,21739252,"Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of phylum Firmicutes, such as genera Enterococcus",,1
Peptostreptococcaceae incertae sedis,viral diarrhea,increase,21739252,"Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of phylum Firmicutes, such as genera Peptostreptococcaceae incertae sedis",,1
Streptococcus,viral diarrhea,increase,21739252,"Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of phylum Firmicutes, such as genera Streptococcus",,1
Weissella,viral diarrhea,increase,21739252,"Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of phylum Firmicutes, such as genera Weissella",,1
Clostridium,viral diarrhea,increase,21739252,"Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of phylum Firmicutes, such as genera Clostridium",,1
Shigella,viral diarrhea,increase,21739252,Sequencing of dominant bands affirmed that diarrhea groups were mainly comprised of opportunistically pathogenic genus Shigella,,1
Bacteroides vulgatus,viral diarrhea,decrease,21739252,Copy number of Bacteroides vulgatus was reduced significantly in viral diarrhea groups as compared to healthy group,,1
Bifidobacterium,viral diarrhea,decrease,21739252,Copy number of Bifidobacterium was reduced significantly in viral diarrhea groups as compared to healthy group,,1
Lactobacillus,viral diarrhea,decrease,21739252,Copy number of Lactobacillus was reduced significantly in viral diarrhea groups as compared to healthy group,,1
Haemophilus parainfluenzae,Irritable Bowel Syndrome,increase,21741921,"Greater percentage of the class γ-proteobacteria in pediatric IBS patients, with Haemophilus parainfluenzae as a prominent component",,1
Ruminococcus-like microbe,Irritable Bowel Syndrome,increase,21741921,Novel Ruminococcus-like microbe was associated with IBS,,1
Alistipes,Irritable Bowel Syndrome,increase,21741921,Greater frequency of pain correlated with an increased abundance of several bacterial taxa from the genus Alistipes,,1
Lactobacillus spp,Irritable Bowel Syndrome with diarrhea,decrease,21741921,Diminished quantities of Lactobacillus spp in adult patients with IBS-D,,1
Veillonella spp,Irritable Bowel Syndrome with constipation,increase,21741921,Increased proportions of Veillonella spp in patients with IBS-C,,1
Dorea,Irritable bowel syndrome,increase,21820992; 29777439,1.5-fold increase in numbers in IBS patients compared to controls || The Dorea genus was higher in IBS-D patients compared to healthy controls,,2
Ruminococcus,Irritable bowel syndrome,increase,21820992,1.5-fold increase in numbers in IBS patients compared to controls,,1
Clostridium,Irritable bowel syndrome,increase,21820992,1.5-fold increase in numbers in IBS patients compared to controls,,1
